logprob,Id,Ti,L,Y,CC,ECC,RId,W,AA,F,J
-20.429,2154011352,optical 3d measurement techniques in archaeology recent developments and applications,en,2008,14,14,"2005073772,2080629029,2145595389,2111975408,2168583588,2162480849,2213196136,1992363158,2202777762,2011505060,2043002852,2170673946,2143727411,329283472,1996922388,2086349579,201224041,2018297962,2152087413,620760051,2119211033,2788746514,1556509141,2170929748,1516531496,2127281712,158261550,2033472262,1495048410,1801182092,2109944321,2147397145,2094008368,1930290056,2906932034,2052882815,2757331265,2196990902,1589806234,1521721736,2307428911,2106625025,2186235964,2588546882","3d,applications,archaeology,developments,measurement,optical,techniques",karsten lambers|1914535798|fabio remondino|5114806,remote sensing|62649853|laser scanning|141349535|geography|205649164|data processing|138827492|architecture|123657996|archaeology|166957645,
-20.437,1997575625,ancient and modern combining different remote sensing techniques to interpret historic landscapes,en,2009,18,18,"2083281122,2213196136,280898154,2202777762,1798489336,2151487447,1967892600,2033472262,1592150506","ancient,combining,different,historic,interpret,landscapes,modern,remote,sensing,techniques",simon crutchley|1664205314,remote sensing|62649853|military site|2909746482|materials science|192562407|lidar|51399673|archaeology|166957645|aerial survey|176262533|aerial photography|133214962,j cult herit|1016481467
-20.438,2073691881,satellite remote sensing and archaeology a comparative study of satellite imagery of the environs of figsbury ring wiltshire,en,2002,34,55,"2143727411,2016165188,1916920390,2085642543,2543278613,2130879734,2487356113,2050839367,2497112760,2078698893,2305136657,2060100276,906779079,2471613662,2012997006,1525795913,2728910273,2332155253,589503630,2025759632,2737613732,2045249609","archaeology,comparative,environs,figsbury,imagery,remote,ring,satellite,sensing,wiltshire",martin j f fowler|2495405225,thematic mapper|2775938548|satellite imagery|2778102629|remote sensing|62649853|panchromatic film|107445234|multispectral image|173163844|image resolution|205372480|image processing|9417928|ground truth|146849305|geology|127313418|archaeology|166957645|aerial photography|133214962,archaeological prospection|180658431
-20.443,2073764051,evaluation of very high to medium resolution multispectral satellite imagery for geoarchaeology in arid regions case study from jabali yemen,en,2011,25,25,"1606251573,2083281122,2043002852,1978353676,1996922388,2086349579,1990344734,2083197550,2058887230,2018297962,2068580990,1972427274,2020779789,1993243599,1967892600,2077894907,2081497821,2073691881,1974657071,2188783949,1971747544,2150606133,2145047298,2030715167,2076285084,2087870584,2060353184,2003165422,2480532535,2508144109,1485328828,1981044694,2005811851,2126507304,385351140,1492568754","arid,case,evaluation,geoarchaeology,high,imagery,jabali,medium,multispectral,regions,resolution,satellite,yemen",jeanpaul deroin|1962718514|florian tereygeol|269525963|jurgen heckes|2396570167,satellite imagery|2778102629|remote sensing|62649853|multispectral image|173163844|geology|127313418|geologic map|82586738|geoarchaeology|18065371|digital elevation model|181843262|arid|150772632|archaeology|166957645|archaeological science|541743481,j archaeol sci|190270160
-20.443,2039854560,use of the global positioning system in the field recovery of scattered human remains,en@@@es,2007,11,11,"158120760,1561979683,2008958229,2018450182,160424711,2086844663","field,global,human,positioning,recovery,remains,scattered,system",ginesse a listi|305562247|mary h manhein|211405542|michael leitner|2119022519,remote sensing|62649853|rouge|7888048|meter|126627574|medicine|71924100|global positioning system|60229501|geographic information system|41856607|geodetic datum|58754882|archaeology|166957645|analytical chemistry|115704247,j forensic sci|62072220
-20.443,1604253698,the roman city of altinum venice lagoon from remote sensing and geophysical prospection,en,2016,6,6,"2154741421,2083596422,2150509498,2013780216,2052272538,1508389591,2089060532,2130306420,1990129272,2055061524,2071798730,1970855913,1914781069,2040549214,2024447639,2041755443,2625351786,2038935968,2101575289,2070038924,2586671326,2010699147,1968192967,1986462273,109909471,2188370301,2117375656,2259125824,1986378071,185499920,163500059,2522698333","altinum,city,geophysical,lagoon,prospection,remote,roman,sensing,venice",paolo mozzi|2907320691|alessandro fontana|2282610807|francesco ferrarese|2026177842|andrea ninfo|2013490024|stefano campana|2892620085|roberto francese|2511048172,roman empire|550479007|remote sensing|62649853|prospection|2778426922|middle ages|143128703|iron age|58009596|harbour|2777318892|geophysics|8058405|geology|127313418|electromagnetics|2909720056|city centre|2779201158|archaeology|166957645,archaeological prospection|180658431
-20.449,2604671466,automatic detection of complex archaeological grazing structures using airborne laser scanning data,en,2017,3,3,"2618530766,2158698691,2009214675,2027781877,48960425,2083281122,1996075252,2021528908,2121502845,2091460873,2202777762,2278448846,1798489336,1932582440,2057781725,2042474989,2127592841,1545072659,2051646064,142436496,2017167989,1996716416,2333921323,2234156377,2192434319,8666808,2152482502,2256557026,1886711746,2316445941,2030039047,2236626706,1968278133,2066265557,2064182806,1554605476,2034215915,324310353,1984256151,1502970699,1823907620,2741657880,2473519527","airborne,archaeological,automatic,complex,data,detection,grazing,laser,scanning,structures",jeanpierre toumazet|1994084642|franck vautier|2625167437|erwan roussel|2898146690|bertrand dousteyssier|2806983318,template matching|158096908|signal processing|104267543|remote sensing|62649853|ranging|115051666|lidar|51399673|laser scanning|141349535|grazing|2777904157|geoarchaeology|18065371|digital elevation model|181843262|computer science|41008148|archaeology|166957645,journal archaeological science reports|2764743818
-20.45,1510549050,ground penetrating radar surveys to locate 1918 spanish flu victims in permafrost,en,2000,45,72,"2076094691,1998742682,2042063390,2118474933,2065219921,1995362868,322866384,2021464736,2142671293","1918,flu,ground,locate,penetrating,permafrost,radar,spanish,surveys,victims",j l davis|2524551721|j a heginbottom|2664193632|a p annan|2644842042|r s daniels|2525998374|b p berdal|2580768073|t bergan|2525048760|k e duncan|2525145247|p k lewin|2654886883|j s oxford|2526679894|n roberts|2527637295|j j skehel|2598249520|c r smith|2525685245,remote sensing|62649853|permafrost|15098985|medicine|71924100|ground penetrating radar|71813955|geophysical survey|114315601|archaeology|166957645|analytical chemistry|115704247,j forensic sci|62072220
-20.457,2073858706,high resolution 3 dimensional documentation of archaeological monuments landscapes using airborne lidar,en,2009,25,25,"2213196136,2403473684","3,airborne,archaeological,dimensional,documentation,high,landscapes,lidar,monuments,resolution",anthony corns|2136335310|robert shaw|2171091052,terrain|161840515|remote sensing|62649853|real time kinematic|93103318|ranging|115051666|photogrammetry|117455697|materials science|192562407|lidar|51399673|documentation|56666940|digital elevation model|181843262|archaeology|166957645|aerial survey|176262533,j cult herit|1016481467
-20.461,2071043271,comparative analysis on the archaeological content of imagery from google earth,en,2011,22,22,"2043002852,2143727411,1996922388,2080058192,2086349579,1993243599,2086871164,2083511573,2129428187,38075480,2046826380,2106186799,2289879831,2130879734,2052614921,2083103609,2018157624,189494989,2101626103,1767573378,2822084","archaeological,comparative,content,earth,google,imagery",dimitris kaimaris|1983130135|olga georgoula|2043861242|petros patias|682610978|eustratios stylianidis|2084757237,satellite|19269812|remote sensing|62649853|materials science|192562407|institutional repository|2780824705|archaeology|166957645|archaeological science|541743481,j cult herit|1016481467
-20.466,2558866408,high resolution satellite images for archeological applications the karima case study nubia region sudan,en@@@it,2012,3,3,"1545923740,2119951534,2325854716,1993243599,2160093322,1973070943,2080892231,93550601,2097346694,2065615376,2040835376,1561224564,2330743814,135837660,959586972,2753750026,69735346","applications,archeological,case,high,images,karima,nubia,region,resolution,satellite,sudan",enrico borgogno mondino|2059200152|luigi perotti|2692015324|marco piras|1968523863,remote sensing|62649853|orthophoto|82789328|multispectral image|173163844|geomatics|12780434|geography|205649164|gnss applications|14279187|excavation|31858485|digital image processing|104317675|digging|2779080342|cartography|58640448|aster|2779188070|archaeology|166957645,eur j remote sens|2496917176
-20.469,2360936073,applications of remote sensing technique in archaeology a review,,2010,6,6,,"applications,archaeology,remote,review,sensing,technique",deng biao|2673260233,remote sensing|62649853|constructive|2778701210|computer science|41008148|archaeology|166957645,journal remote sensing|2764468969
-20.472,2021511333,direct detection of southeast asian smelting sites by aster remote sensing imagery technical issues and future perspectives,en,2010,11,11,"2150038996,2122400352,1623899554,1984127314,2118153533,1988105256,2122791889,2054849983,650366600,1903832370,843552968,2072812093,2064614503,2012666849,2613363214,2008126288","asian,aster,detection,direct,future,imagery,issues,perspectives,remote,sensing,sites,smelting,southeast,technical",thomas oliver pryce|2010148488|thomas oliver pryce|2010148488|m j abrams|2709918107,vegetation|172427765|smelting|157247726|remote sensing|62649853|ground truth|146849305|geology|127313418|excavation|31858485|aster|2779188070|archaeology|166957645,j archaeol sci|190270160
-20.476,2473646473,posterior probability modeling and image classification for archaeological site prospection building a survey efficacy model for identifying neolithic felsite workshops in the shetland islands,en,2016,3,3,"1996075252,2278448846,2007723148,1987097445,2064106118,2073832366,2080276144,1565635388,2210439597,128329236,2021307259","archaeological,building,classification,efficacy,felsite,identifying,image,islands,model,modeling,neolithic,posterior,probability,prospection,shetland,site,survey,workshops",william megarry|2302339804|gabriel cooney|2113440608|douglas c comer|1965876590|carey e priebe|2144812577,shetland|2780978308|remote sensing|62649853|random forest|169258074|principal component analysis|27438332|posterior probability|57830394|linear discriminant analysis|69738355|geology|127313418|felsite|194252965|curse of dimensionality|111030470|contextual image classification|75294576|archaeology|166957645,remote sensing|43295729
-20.477,2156531677,close range photogrammetric tools for small 3d archeological objects,en,2013,7,7,"2341520973,2034678108,2844591807","3d,archeological,close,objects,photogrammetric,range,small,tools",mariam samaan|2638762585|raphaele heno|2586825931|marc pierrotdeseilligny|2226352149,workflow|177212765|remote sensing|62649853|point cloud|131979681|photogrammetry|117455697|georeference|75145180|geography|205649164|data processing|138827492|cultural heritage|60671577|computer vision|31972630|automation|115901376|artificial intelligence|154945302|archaeology|166957645,isprs international archives photogrammetry remote sensing spatial information sciences|2764939010
-20.482,2341978580,historical aerial photography and multi receiver emi soil sensing complementing techniques for the study of a great war conflict landscape,en,2016,9,9,"1997703055,2148018658,2106351948,1948499818,2057055115,1988370957,2063833216,2169149460,2028724038,2130306420,2296168307,1571948373,2466563790","aerial,complementing,conflict,emi,great,historical,landscape,multi,photography,receiver,sensing,soil,techniques,war",wouter gheyle|1458861332|timothy saey|2086375726|yannick van hollebeeke|2297158594|stephanie verplaetse|2420596929|jean bourgeois|2267678628|marc van meirvenne|204222322|veerle van eetvelde|1902659110|birger stichelbaut|2797071750,spite|181836184|remote sensing|62649853|geology|127313418|excavation|31858485|archaeology|166957645|aerial photography|133214962|added value|78244369,archaeological prospection|180658431
-20.482,1619582917,comparing similar ground penetrating radar surveys under different moisture conditions at kalavasos ayios dhimitrios cyprus,en,2012,12,12,"260767608,2069225890,604244784,2325962345,2143390819,640388030,1496395573,1971492509,1964697192,375455499,2502682669,2002764445,1992876364,2334500162,1969143299,2149838234,2331876524,2329715402,2045668730","ayios,comparing,conditions,cyprus,dhimitrios,different,ground,kalavasos,moisture,penetrating,radar,similar,surveys",michael rogers|2149215337|jeffrey f leon|2143368555|kevin d fisher|2097163636|sturt w manning|2326812004|david a sewell|2496204321,urban planning|49545453|remote sensing|62649853|radar|554190296|moisture|176864760|ground penetrating radar|71813955|geology|127313418|bronze age|120876096|architecture|123657996|archaeology|166957645,archaeological prospection|180658431
-20.482,2023360712,detection of anomalies produced by buried archaeological structures using nonlinear principal component analysis applied to airborne hyperspectral image,en@@@fr,2013,20,20,"1554663460,2123649031,2108995755,1996355918,2051812123,2122538988,2060542593,2010319424,2162480849,2136625467,2003454866,2106777458,2115366158,2010797000,2004104348,2128330514,2043441451,2141494774,1996922388,2165289391,2086349579,2083197550,201224041,2018297962,1964697192,2157235704,2018601649,2086871164,2124194540,2102739936,2606306511,2113199674,2166576238,2483270818,2045381284,2098526008,2167370970,2106670318,1996027975,2119904473,2305136657,600841143,2060100276,1981817354,1139279625,2047827914","airborne,anomalies,applied,archaeological,buried,component,detection,hyperspectral,image,nonlinear,principal,structures",rosa maria cavalli|2707631004|giorgio licciardi|1533580016|jocelyn chanussot|1995330977,remote sensing|62649853|principal component analysis|27438332|multispectral image|173163844|mathematics|33923547|imaging spectrometer|183852935|hyperspectral imaging|159078339|computer vision|31972630|artificial intelligence|154945302|archaeology|166957645|anomaly detection|739882,ieee j sel top appl earth obs|117727964
-20.483,2118803519,spectral characterization of a digital still camera s nir modification to enhance archaeological observation,en,2009,20,20,"2113410727,2124695272,2106111212,2164734076,1978903816,2063623478,2139925058,1658108565,1647195613,2034749070,1643484380,96697480,1996379195,2098188176,2031126473,2065191898,2130592073,2132299303,2043002852,2030106896,2048128407,2088304553,2152320530,971238915,2260439637,1992979930,2491145830,1987097445,2021467912,2488898220,2020205401,2026593617,2021784815,2127024007,1976083655,2488233630,2066724429,206024,1963772043,1983279516,1995962830,1994180767,2005284849,1996650048,2069267285,1975504862,2064552842,1742449783,134944831,2155140950,2089441588,2335736848,2248624775,343765000,2095762843,2130879734,2009813627,2006477706,2059517161,179700686,2023455634,2491940223,2000580743,90797427,2315884007,2045599099,408305008,168651992,2465976001,2000639012,2155045097,2088976652,1535642789,2479991877,2077707413,2055425291,2034055517,31345662,1818923127,2491365822,2090022793,146712055,2073152238,1972769032,2060761490,1974641254,2616639605,2248029919,1999717736,2050926452,2318184102","archaeological,camera,characterization,digital,enhance,modification,nir,observation,spectral,still",geert verhoeven|2169669433|philippe smet|2126899833|dirk poelman|1970773585|frank vermeulen|2112772285,still camera|2779675561|remote sensing|62649853|radiation|153385146|photography|119657128|phenomenon|50335755|near infrared spectroscopy|43571822|mathematics|33923547|image sensor|76935873|digital photography|16282426|computer vision|31972630|artificial intelligence|154945302|archaeology|166957645|aerial archaeology|2779668730,ieee trans geosci remot sen|111326731
-20.484,2061640342,computer vision photogrammetry for underwater archaeological site recording in a low visibility environment,en,2015,9,9,"2125186487,135207212,1969136216,1544687065,2136985900,2068959477,2050890258,2021514131,2129483645,2083678017,2025056712,2077502906,2083956430,2001681084,2131030256","archaeological,computer,environment,low,photogrammetry,recording,site,underwater,visibility,vision",t van damme|2562550613,visibility|123403432|underwater archaeology|1479423|underwater|98083399|software|2777904410|remote sensing|62649853|photogrammetry|117455697|engineering|127413603|computer vision|31972630|artificial intelligence|154945302|archaeology|166957645,isprs international archives photogrammetry remote sensing spatial information sciences|2764939010
-20.488,2049316705,combining structure from motion with high and intermediate resolution satellite images to document threats to archaeological heritage in arid environments,en,2015,14,14,"135207212,217217970,1986320828,1993258841,1485001834,2027373634,2152150196,2210423779,2007103873,1974288798,2079695900,1996868670,2092839343,2521941819,2186588568,2026563964,40585079,2045476439","archaeological,arid,combining,document,environments,heritage,high,images,intermediate,motion,resolution,satellite,structure,threats",ralf hesse|2682075049,visibility|123403432|structure from motion|146159030|satellite|19269812|remote sensing|62649853|photogrammetry|117455697|orthophoto|82789328|materials science|192562407|geoglyph|2780048980|arid|150772632|archaeology|166957645,j cult herit|1016481467
-20.494,2082358101,large scale systematic fluxgate gradiometry at the roman city of wroxeter,en,2000,40,78,"2292780396,2028089885,2074138311,2307356784,2054916972,2110267251,2588307287,2463054316,2040816559,576852010,2910059120","city,fluxgate,gradiometry,large,roman,scale,systematic,wroxeter",chris gaffney|2150497552|john gater|2120432532|paul linford|1985797339|vince gaffney|2085043130|roger white|2148580738,remote sensing|62649853|population|2908647359|magnetic survey|95109369|geophysical survey|114315601|geology|127313418|fluxgate compass|28044941|archaeology|166957645,archaeological prospection|180658431
-20.497,2041040063,a review of trends within archaeological remote sensing in alluvial environments,en,2006,34,34,"2213196136,2325962345,2170673946,2091749784,1971492509,1974544769,2009977514,2101183389,2021216156,2161910135,1988486570,1600278610,2142570885,2102696849,2009303114,2074138311,1528653991,2094008368,2320121120,2078123721,2016532746,2040400707,2489891424","alluvial,archaeological,environments,remote,review,sensing,trends",keith challis|2076522883|andy j howard|2247292572,visualization|36464697|remote sensing|62649853|ranging|115051666|lidar|51399673|homogeneous|66882249|geology|127313418|geoarchaeology|18065371|floodplain|155681218|archaeology|166957645|alluvium|69823785|aerial photography|133214962,archaeological prospection|180658431
-20.498,2152482502,automatic detection of pit structures in airborne laser scanning data,en,2012,22,22,"2104525659,2083281122,2003260632,2213196136,2091460873,2202777762,2065004162,2278448846,1798489336,2067853114,2012821055,1990868684,2017167989","airborne,automatic,data,detection,laser,pit,scanning,structures",oivind due trier|1783373794|lars holger pilo|2632528483,visual inspection|168820333|square meter|128964735|remote sensing|62649853|lidar|51399673|laser scanning|141349535|geology|127313418|digital elevation model|181843262|archaeology|166957645|ancient iron production|2780814968,archaeological prospection|180658431
-20.504,1974657071,monitoring archaeological sites in a changing landscape using multitemporal satellite remote sensing as an early warning method for detecting regrowth processes,en,2007,17,17,"2005073772,2007468519,2132874271,2176831171,2026745084,2162960200,587380339,2067279207,2115551237,2018816069,1713512910,2000911359","archaeological,changing,detecting,early,landscape,monitoring,multitemporal,processes,regrowth,remote,satellite,sensing,sites,warning",stine barlindhaug|2233673106|inger marie holmolsen|2636873272|hans tommervik|2631685629,warning system|29825287|threatened species|24518262|remote sensing|62649853|reforestation|154575652|normalized difference vegetation index|1549246|geology|127313418|cultural landscape|12429862|cultural heritage|60671577|archaeology|166957645,archaeological prospection|180658431
-20.505,2146429040,archaeological impact assessment the brebemi project italy,en,2011,11,11,"2788746514,2495385598,2504431344,2498518896,2232618041,2346968735,2316397395","archaeological,assessment,brebemi,impact,italy,project",stefano campana|2190919569|michel dabas|2058258699,remote sensing|62649853|lidar|51399673|impact assessment|111874474|geology|127313418|excavation|31858485|archaeology|166957645|aerial survey|176262533|aerial photography|133214962,archaeological prospection|180658431
-20.515,1569176441,spying on the past declassified intelligence satellite photographs and near eastern landscapes,en,2013,16,16,"2037028543,32859390,2065336745,2140163773,1647018120,155437285,2054674908,2461182602,2069056407,104078300,1504758632,1942599455,1621276536,1567517615,621742672,2015008851,575125136","declassified,eastern,intelligence,landscapes,past,photographs,satellite,spying",jason ur|1430897697,satellite|19269812|history|95457728|espionage|558872910|archaeology|166957645,near eastern archaeology|100189291
-20.515,2063777496,novel tomographic based approach and processing strategies for gpr measurements using multifrequency antennas,en,2009,16,16,"2108365241,1514248469,2069225890,2102921232,2070596432,2112625602,2058105619,2040789065,2043841568,2018080047,2013301680,1979271345,1965552084","antennas,approach,gpr,measurements,multifrequency,novel,processing,strategies,tomographic",francesco soldovieri|662759263|luciana orlando|2172039928,tomography|163716698|remote sensing|62649853|prospecting|175181221|microwave|44838205|materials science|192562407|interpretability|2781067378|ground penetrating radar|71813955|archaeology|166957645|antenna|21822782,j cult herit|1016481467
-20.523,2142654872,low altitude aerial photography applications for digital surface models creation in archaeology,en,2013,3,3,"1977272108,2011551841,2121264346,2142198950,1998327661,1989563048,1968220697,2159397635,2153759474,2141998175,1989791028,2039630720,2133881105,1580513099,2085715291,2135486659,2308113705,1982304220,2062143382,1963623819,2065942844,1600552940,2152554462,2121253760,2155052863,2072212932,2503136344,1598353405,268683196,1025870390,1657109781,1969714780,2186310853","aerial,altitude,applications,archaeology,creation,digital,low,models,photography,surface",joseangel martinezdelpozo|1986549303|enrique cerrillocuenca|346384598|ernesto salastovar|220352867,standard deviation|22679943|spatial distribution|2777016058|spatial analysis|159620131|repeatability|154020017|remote sensing|62649853|photogrammetry|117455697|orthophoto|82789328|geography|205649164|archaeology|166957645|altitude|29403383|aerial photography|133214962,t gis|859791518
-20.532,2154502627,photogrammetric archaeological survey with uav,en,2014,6,6,"2138784324,2901059412,2288486132,2142654872,74010801,2553683857","archaeological,photogrammetric,survey,uav",a mouget|2318143263|g lucet|2628809062,stereoscopy|126057942|software|2777904410|remote sensing|62649853|photogrammetry|117455697|orthophoto|82789328|computer vision|31972630|computer science|41008148|artificial intelligence|154945302|architecture|123657996|archaeology|166957645|aerial photography|133214962,isprs annals photogrammetry remote sensing spatial information sciences|2737735205
-20.538,2016660801,geometric documentation of underwater archaeological sites,en,2013,11,11,"2090922579,2097927181,16580744,2908831788,2064675821,2077502906,1995795856,1548434219,2152829266","archaeological,documentation,geometric,sites,underwater",eleni diamanti|2106220596|a georgopoulos|2136041560|fotini vlachaki|2717189156,underwater|98083399|trilateration|20832178|software|2777904410|remote sensing|62649853|photogrammetry|117455697|maritime archaeology|143700406|engineering|127413603|documentation|56666940|data collection|133462117|archaeology|166957645|3d reconstruction|109950114,geoinformatics fce ctu|2764806160
-20.543,2577581381,detection and segmentation of underwater archaeological sites surveyed with stereo vision platforms,en,2015,2,2,,"archaeological,detection,platforms,segmentation,sites,stereo,surveyed,underwater,vision",katherine a skinner|2292832571|matthew johnsonroberson|2033490064,underwater|98083399|stereopsis|68537008|remote sensing|62649853|iterative reconstruction|141379421|image segmentation|124504099|geometric shape|7305733|geographic information system|41856607|engineering|127413603|computer vision|31972630|artificial intelligence|154945302|architectural plan|152095336|archaeology|166957645|3d reconstruction|109950114,
-20.544,2177701418,hidden text detection by infrared thermography anwendung der aktiven infrarotthermographie irt zur erfassung von verdeckten texten utilisation de la thermographie infrarouge irt pour detecter des textes caches,it,2013,15,15,,"aktiven,anwendung,caches,detecter,detection,erfassung,hidden,infrared,infrarotthermographie,infrarouge,irt,pour,text,texten,textes,thermographie,thermography,utilisation,verdeckten,zur",f mercuri|2159697704|roberta gnoli|2638594626|s paoloni|2634039643|noemi orazi|1719070581|cristina cicero|2227447098|u zammit|1829473803|m marinelli|2792227454|f scudieri|431790006,thermography|2779222261|remote sensing|62649853|infrared|158355884|hidden text|2776297386|chemistry|185592680|artificial intelligence|154945302|archaeology|166957645,restaurator|29114012
-20.549,2744708479,towards an operational use of geophysics for archaeology in henan china methodological approach and results in kaifeng,en,2017,10,10,"2152242052,2013996674,184755470,1504183433,1483947164,2088382656,2062860795,1982764783,2016956458,2553066784,2033058486,2046021450,2156393223,2028008675,1967670087,1562156411,2605485176,1887261132,2062673662,2489141176,2130732624,2327301198,1483334782","approach,archaeology,china,geophysics,henan,kaifeng,methodological,operational,towards",nicola masini|146908812|luigi capozzoli|2154570752|panpan chen|2255883579|fulong chen|2122728365|gerardo romano|2140959287|peng lu|2642719917|panpan tang|2164229351|maria sileo|1962934975|qifeng ge|2744784462|rosa lasaponara|233151887,stratigraphy|109281948|remote sensing|62649853|rammed earth|2781315196|prospection|2778426922|ground penetrating radar|71813955|geophysics|8058405|geology|127313418|excavation|31858485|china|191935318|archaeology|166957645,remote sensing|43295729
-20.55,2521066519,multi scale synthetic aperture radar remote sensing for archaeological prospection in han hangu pass xin an china,en,2017,4,4,"2128033169,1968999285,864372470,2212898779,2004638404,2296421709,2086349579,2118426743,1913732766,1609821603,2060133927,2087375155,2396291098,1859986355,2497468488,1971256359,2055061524,2089705972,2029890934,2048846648","aperture,archaeological,china,han,hangu,multi,pass,prospection,radar,remote,scale,sensing,synthetic,xin",fulong chen|2122728365|aihui jiang|2272031919|panpan tang|2164229351|ruixia yang|2615125436|wei zhou|2627561254|hongchao wang|2693355889|xin lu|2566770251|timo balz|1160624271,terrain|161840515|synthetic aperture radar|87360688|remote sensing|62649853|radar|554190296|prospection|2778426922|phased array|55494473|mathematics|33923547|elevation|142816520|computer vision|31972630|artificial intelligence|154945302|archaeology|166957645,remote sens lett|2494614724
-20.553,2007351065,sub pixel artifact detection using remote sensing,en,2003,20,20,"2056447651,1966798775,2147712562,2062954533,2173793438,2589760803,2033394108,2006372398,2074487131,760851603,2586280608,2094202467,1508246414,2429928063,1975225607,279066137,2777616958,1975882279,110154501,2151554882,650696042,2141375705","artifact,detection,pixel,remote,sensing,sub",paul e buck|1971398447|donald e sabol|2159295795|alan r gillespie|2136943937,vegetation|172427765|remote sensing|62649853|pottery|130056557|pixel|160633673|near infrared spectroscopy|43571822|infrared|158355884|geology|127313418|archaeology|166957645,j archaeol sci|190270160
-20.554,2132441697,integrated remote sensing techniques for the detection of buried archaeological adobe structures preliminary results in cahuachi peru,en,2008,13,13,"106317687,1977188396,1993243599,2040789065,2116204556,245728086","adobe,archaeological,buried,cahuachi,detection,integrated,peru,preliminary,remote,sensing,structures,techniques",nicola masini|146908812|enzo rizzo|2299022984|rosa lasaponara|233151887|giuseppe orefici|1307530945,resource management|9765861|remote sensing|62649853|radar|554190296|ground penetrating radar|71813955|geology|127313418|archaeology|166957645|adobe|2777261232,advances in geosciences|13330807
-20.555,2371542881,applications and development of archaeological remote sensing technology in china,,2009,7,7,"1623899554,2884158582,2393184366,2369698547","applications,archaeological,china,development,remote,sensing,technology",yang lin|2336580750,remote sensing|62649853|environmental science|39432304|archaeology|166957645|archaeological science|541743481,journal remote sensing|2764468969
-20.556,2029890934,discovering ancient maya settlements using airborne radar elevation data,en,2011,14,14,"2084744129,2129206142,1421632428,2148043654,2038222372,2139084147,1623899554,2106652097,2152121075,1983558151,2116587774,2047650751,2083122172,2316854088,1241861492","airborne,ancient,data,discovering,elevation,maya,radar,settlements",thomas g garrison|2309836674|bruce chapman|2151248842|stephen d houston|2579247553|edwin roman|2166885453|jose luis garrido lopez|2556217711,synthetic aperture radar|87360688|remote sensing|62649853|radar|554190296|jungle|2776410375|human settlement|16678853|geology|127313418|elevation|142816520|archaeology|166957645,j archaeol sci|190270160
-20.561,2012826144,ground truthing of remotely identified fortifications on the central coast of peru,en,2011,10,10,"2005073772,2590351678,1504183433,1529800964,2037028543,603213382,2108280708,2048817199,2016170005,2036606531,2036723002,641667472,1507112578,1847217969,2156354973,2074602581,2135808946,571986799,2077565079,1553615793,560630626,53204302,2061059560,2043483056,1990461424,2319325592,2491361962,2235106403,29425821,80372133,2312851899,2289879831,2132057956,1567257494,586025237,2065309476,1999246030,2102778100,2008166191,2530582636,2177264513,1520055789,2146962005,635276188,278063106,409132771,2113516997,1998565379,2910078973,2098110511,2301170381,2073373523,2563904922,2030820340,1997402994,2270632355,1574446865,106157937,627459142,29984565,1568139794","central,coast,fortifications,ground,identified,peru,remotely,truthing",margaret brown vega|2310374343|nathan craig|1977077451|gerbert asencios lindo|2010729639,remote sensing|62649853|indexation|186311912|ground truth|146849305|geology|127313418|documentation|56666940|archaeology|166957645|aerial photography|133214962,j archaeol sci|190270160
-20.563,1990461424,tracing settlement patterns and channel systems in southern mesopotamia using remote sensing,en,2010,23,23,"1504183433,2037028543,32859390,2096464883,201224041,1984147173,1572158992,1530780495,576934300,65021800,1930290056,2320121120,2568137730,2461439805,2019462063,2048535340,611074078,1983847887,638077205,2094152597,1970126122,2044421092","channel,mesopotamia,patterns,remote,sensing,settlement,southern,systems,tracing",carrie hritz|2661484647,tracing|138673069|satellite imagery|2778102629|remote sensing|62649853|mesopotamia|85064482|geology|127313418|digital elevation model|181843262|channel|156996364|channel|84958200|archaeology|166957645|alluvial plain|47568318,journal of field archaeology|196948491
-20.563,1972313293,airborne remote sensing of valley floor geoarchaeology using daedalus atm and casi,en,2009,25,25,"2061240006,2213196136,1991039337,2000648382,2170673946,2086349579,1979198083,2144026378,2077894907,2096171073,2083511573,2041040063,2143272646,2094008368,2144338457,1981044694,2036874707,2326820390,2087760896,2032244232","airborne,atm,casi,daedalus,floor,geoarchaeology,remote,sensing,valley",keith challis|2076522883|mark kincey|1094293128|andy j howard|2247292572,vegetation|172427765|thematic mapper|2775938548|remote sensing|62649853|reflectivity|108597893|multispectral image|173163844|infrared|158355884|geology|127313418|geoarchaeology|18065371|archaeology|166957645,archaeological prospection|180658431
-20.574,2151595853,visualizing high resolution three dimensional and two dimensional data of cultural heritage sites,en,2014,6,6,"1611652647,2145201768,1523704229,2057173468,2266153914,2004300598,2086210662,2395876041,189415188","cultural,data,dimensional,heritage,high,resolution,sites,three,two,visualizing",vid petrovic|2442924155|david vanoni|2112491573|ashley m richter|2183259269|thomas e levy|2309122928|falko kuester|1975749114,visualization|36464697|structured light|193581530|remote sensing|62649853|polygon mesh|31487907|point cloud|131979681|orthophoto|82789328|multispectral image|173163844|lidar|51399673|cultural heritage|60671577|computer vision|31972630|computer science|41008148|artificial intelligence|154945302|archaeology|166957645,mediterranean archaeology & archaeometry|154281496
